

Colorado (PST) SNOTEL Site Mesa Lakes - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Tue Jun 28 11:47:49 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
622,2020-01-01,,     5.8,     7.1,    -7.8,    -0.3,   -16.8,    -9.9,      26,
622,2020-01-02,,     6.0,     7.4,    -8.3,    -2.8,    -8.3,    -5.3,      28,
622,2020-01-03,,     6.0,     7.4,   -10.6,    -4.9,   -12.8,    -9.3,      28,
622,2020-01-04,,     6.0,     7.4,    -8.6,     0.3,   -13.6,    -8.7,      26,
622,2020-01-05,,     6.1,     7.5,    -8.1,     4.0,    -8.6,    -2.9,      24,
622,2020-01-06,,     6.1,     7.5,   -10.7,     0.7,   -10.7,    -5.0,      26,
622,2020-01-07,,     6.1,     7.5,    -8.0,    -3.3,   -14.3,    -8.8,      26,
622,2020-01-08,,     6.1,     7.5,    -3.7,     3.3,    -9.9,    -4.0,      26,
622,2020-01-09,,     6.1,     7.5,   -11.4,     0.4,   -11.6,    -4.4,      23,
622,2020-01-10,,     6.2,     7.7,   -10.2,    -5.0,   -12.4,    -9.0,      24,
622,2020-01-11,,     6.2,     7.7,   -15.5,    -6.7,   -18.0,   -13.0,      25,
622,2020-01-12,,     6.3,     7.8,   -12.3,    -4.5,   -15.5,    -9.6,      26,
622,2020-01-13,,     6.4,     8.0,    -9.6,    -7.1,   -14.3,   -10.5,      26,
622,2020-01-14,,     6.6,     8.2,    -6.9,    -6.4,    -9.6,    -8.0,      31,
622,2020-01-15,,     6.6,     8.2,    -7.9,    -0.4,    -8.0,    -4.5,      31,
622,2020-01-16,,     6.7,     8.2,    -4.5,     1.7,    -9.8,    -4.5,      29,
622,2020-01-17,,     6.8,     8.3,    -2.8,     2.9,    -4.5,    -0.8,      28,
622,2020-01-18,,     7.1,     8.8,   -17.1,    -2.5,   -17.6,    -8.0,      31,
622,2020-01-19,,     7.1,     8.8,   -10.9,     0.1,   -17.9,    -9.9,      31,
622,2020-01-20,,     7.1,     8.8,-99.9,-99.9,-99.9,-99.9,      30,
622,2020-01-21,,     7.3,     9.0,    -0.8,     3.9,   -12.3,    -1.7,      29,
622,2020-01-22,,     7.6,     9.3,    -4.6,     0.5,    -4.6,    -2.1,      32,
622,2020-01-23,,     7.6,     9.3,    -6.1,    -3.2,    -6.3,    -4.9,      32,
622,2020-01-24,,     7.7,     9.4,    -5.5,    -0.8,    -6.2,    -4.7,      34,
622,2020-01-25,,     7.7,     9.4,    -4.5,     6.2,    -9.2,    -4.0,      33,
622,2020-01-26,,     7.7,     9.4,    -6.8,     3.4,    -7.6,    -4.3,      33,
622,2020-01-27,,     7.7,     9.4,-99.9,-99.9,-99.9,-99.9,      33,
622,2020-01-28,,     8.0,     9.8,   -11.9,    -2.1,   -12.0,    -5.4,      36,
622,2020-01-29,,     8.1,     9.9,    -6.4,     0.1,   -14.1,    -7.8,      35,
622,2020-01-30,,     8.1,     9.9,   -12.2,    -3.6,   -12.3,    -7.2,      35,
622,2020-01-31,,     8.1,     9.9,   -13.6,    -4.5,   -14.7,   -10.0,      35,
622,2020-02-01,,     8.1,    10.0,    -5.7,    -1.7,   -13.8,    -7.0,      34,
622,2020-02-02,,     8.1,    10.0,    -0.5,     6.9,    -6.0,    -0.4,      33,
622,2020-02-03,,     8.1,    10.0,    -0.1,     9.7,    -1.7,     3.3,      33,
622,2020-02-04,,     8.1,    10.0,   -17.5,    -0.1,   -18.2,    -7.6,      34,
